"id","DATE","Platform_id","Platform","Location_id","Location","Brand_id","Brand","Product_type","Category","MSL","Comp_flag","Web_Pid","Product","URL","Weight","Reseller_Name","buy_box_neno_osa","neno_osa","deno_osa","listing_percent","MRP","Selling_Price","Discount","Rating","Item_Id","Channel","Product_Subcategory","PPU","image_url","Sales","Qty_Sold","Inventory","DIH","Ad_Clicks","Ad_Impressions","Ad_Quantity_sold","Ad_sales","Ad_Spend","Organic_Impressions"
66350,"2026-03-01","2","Blinkit","1","Ahmedabad",1,"The Derma Co.","Gold","Face Care",0,0,"539563","10% Vitamin C Face Serum 30g","https://blinkit.com/prn/XYZ/prid/539563","30 g","","","","","","","","","",10149671,"QuickComm","Vitamin C",21.633333333333326,"",1298,2,"","",9.977528089887642,336.876404494382,3.1685393258426973,1186.629213483146,420.5438202247192,31.61745025422134
66408,"2026-03-01","2","Blinkit","1","Ahmedabad",1,"The Derma Co.","Gold","Face Care",0,0,"556704","10% Vitamin C Face Serum 10 g","https://blinkit.com/prn/XYZ/prid/556704","10 g","","","","","","","","","",10162657,"QuickComm","Vitamin C",30.77,"",2093,7,"","",1.6594827586206897,125.03448275862068,0.5129310344827587,169.5991379310345,118.64698275862068,1417.999141151716
66409,"2026-03-01","2","Blinkit","1","Other",1,"The Derma Co.","Gold","Face & Body moisturizers",0,0,"707555","1% Salicylic Acid Oil-Free Face Moisturizer","https://blinkit.com/prn/XYZ/prid/707555","50 g","","","","","","","","","",10257854,"QuickComm","Salicylic Acid",6.98,"",4886,14,"","","","","","","",0
66410,"2026-03-01","2","Blinkit","1","Pune",1,"The Derma Co.","Gold","Face & Body moisturizers",0,0,"707555","1% Salicylic Acid Oil-Free Face Moisturizer","https://blinkit.com/prn/XYZ/prid/707555","50 g","","","","","","","","","",10257854,"QuickComm","Salicylic Acid",6.98,"",3490,10,"","","","","","","",0
66427,"2026-03-01","2","Blinkit","1","Bhopal",1,"The Derma Co.","Gold","Face & Body moisturizers",0,0,"707555","1% Salicylic Acid Oil-Free Face Moisturizer","https://blinkit.com/prn/XYZ/prid/707555","50 g","","","","","","","","","",10257854,"QuickComm","Salicylic Acid",6.98,"",349,1,"","","","","","","",0
66435,"2026-03-01","2","Blinkit","1","Guwahati",1,"The Derma Co.","Gold","Face Care",0,0,"556704","10% Vitamin C Face Serum 10 g","https://blinkit.com/prn/XYZ/prid/556704","10 g","","","","","","","","","",10162657,"QuickComm","Vitamin C",30.77,"",598,2,"","",0.4741379310344828,35.72413793103449,0.14655172413793105,48.45689655172412,33.89913793103448,405.142611757633
66542,"2026-03-01","2","Blinkit","1","Visakhapatnam",1,"The Derma Co.","Gold","Sunscreen",0,0,"544136","1% Hyaluronic Sunscreen Aqua Gel 80g","https://blinkit.com/prn/XYZ/prid/544136","80 g","","","","","","","","","",10152772,"QuickComm","Hyaluronic Acid",8.1125,"",3245,5,"","","","","","","",0
66544,"2026-03-01","2","Blinkit","1","Other",1,"The Derma Co.","Gold","Sunscreen",0,0,"544136","1% Hyaluronic Sunscreen Aqua Gel 80g","https://blinkit.com/prn/XYZ/prid/544136","80 g","","","","","","","","","",10152772,"QuickComm","Hyaluronic Acid",8.1125,"",109681,169,"","","","","","","",0
66546,"2026-03-01","2","Blinkit","1","Chennai",1,"The Derma Co.","Gold","Sunscreen",0,0,"544136","1% Hyaluronic Sunscreen Aqua Gel 80g","https://blinkit.com/prn/XYZ/prid/544136","80 g","","","","","","","","","",10152772,"QuickComm","Hyaluronic Acid",8.1125,"",12331,19,"","","","","","","",0
66784,"2026-03-01","2","Blinkit","1","Ahmedabad",1,"The Derma Co.","Gold","Face Cleaning",0,0,"716071","TDC 2% Salicylic Acid Gel Face Wash","https://blinkit.com/prn/XYZ/prid/716071","100 g","","","","","","","","","",10263180,"QuickComm","Salicylic Acid",2.9899999999999998,"",2990,10,"","",6.229508196721312,287.42388758782204,2.693208430913349,709.320843091335,246.4332552693208,924.1539650270748
